"Date of introduction";"Bill title";"Current Status";"Date - Passage / Withdrawal /Lapsing";"link";"Representative"
"2014-11-07";"The Constitution (Amendment) Bill, 2014 (Amendment of the Seventh Schedule)";"Pending";"";"";"Ramachandran Mullappally"
"2014-11-07";"The Motor Vehicles (Amendment) Bill, 2014 (Amendment of section 109, etc.)";"Pending";"";"";"Ramachandran Mullappally"
"2017-03-24";"The Clinical Trial of Drugs on Patients (Regulation) Bill, 2016";"Pending";"";"";"Rama Devi"
"2017-03-24";"The Prevention of Bribery in Private Sector Bill, 2016";"Pending";"";"";"Rama Devi"
"2017-03-24";"The Provision of Uninterrupted Power Supply to Industries in Backward Areas Bill, 2016";"Pending";"";"";"Rama Devi"
"2017-03-24";"The Reservation of Posts in Services and Seats in Educational Institutions for Persons Living in Economically Backward Areas Bill, 2016";"Pending";"";"";"Rama Devi"
"2016-11-03";"The Economically Weaker Class Corporation Bill, 2016";"Pending";"";"";"Rama Devi"
"2016-11-03";"The Poverty Stricken and Backward Regions (Development) Bill, 2016";"Pending";"";"";"Rama Devi"
"2018-03-08";"The Abolition of Child Labour Bill, 2018";"Pending";"";"";"Ramesh Bidhuri"
"2018-03-08";"The Victims of Terrorism (Provision of Compensation and Welfare Measures) Bill, 2018";"Pending";"";"";"Ramesh Bidhuri"
"2017-10-03";"The Compulsory Teaching of Bhagavad Gita as a Moral Education Text Book in Educational Institutions Bill, 2016";"Pending";"";"";"Ramesh Bidhuri"
"2017-10-03";"The Financial Assistance to Unemployed Post-Graduates Bill, 2016";"Pending";"";"";"Ramesh Bidhuri"
"2017-10-03";"The Special Financial Assistance to the National Capital Territory of Delhi Bill, 2016";"Pending";"";"";"Ramesh Bidhuri"
"2017-10-03";"The Victims of Riots and Communal Violence (Equal Compensation) Bill, 2016";"Pending";"";"";"Ramesh Bidhuri"
"2017-12-29";"The Financial Assistance for Girl Child born to Parents Living Below Poverty Line Bill, 2017";"Pending";"";"";"Ramesh Chander Kaushik"
"2018-03-08";"The Self-Financing Professional Educational Institutions (Control and Regulation) Bill, 2018";"Pending";"";"";"Ramesh Pokhriyal Nishank"
"2018-03-08";"The Compulsory Furnishing of Bills for Goods and Services Bill, 2018";"Pending";"";"";"Ramesh Pokhriyal Nishank"
"2018-03-08";"The Women Welfare Bill, 2018";"Pending";"";"";"Ramesh Pokhriyal Nishank"
"2018-03-08";"The Prevention of Deaths Due to Heat and Cold Waves Bill, 2018";"Pending";"";"";"Ramesh Pokhriyal Nishank"
"2017-07-21";"The Vexatious Litigation (Prevention) Bill, 2017";"Pending";"";"";"Ramesh Pokhriyal Nishank"
"2017-07-21";"The Prohibition of Publication and Dissemination of Objectionable Material and Religion Bill, 2017";"Pending";"";"";"Ramesh Pokhriyal Nishank"
"2017-07-21";"The Population (Stabilisation) Bill, 2017";"Pending";"";"";"Ramesh Pokhriyal Nishank"
"2017-07-21";"The Victims of Acid Attack, Sexually Abused and Trafficked Girls and Women (Compensation and Rehabilitation) Bill, 2017";"Pending";"";"";"Ramesh Pokhriyal Nishank"
"2017-03-24";"The Meritorious Students (Assistance in Higher Studies) Bill, 2016";"Pending";"";"";"Ramesh Pokhriyal Nishank"
"2017-03-24";"The Constitution (Amendment) Bill, 2016 (Insertion of new article 30A)";"Pending";"";"";"Ramesh Pokhriyal Nishank"
"2017-03-24";"The Abolition of Capital Punishment Bill, 2016";"Pending";"";"";"Ramesh Pokhriyal Nishank"
"2016-05-08";"The High Court of Uttarakhand (Establishment of a Permanent Bench at Haridwar) Bill, 2016";"Pending";"";"";"Ramesh Pokhriyal Nishank"
"2016-05-08";"The Snow and Glaciers Authority of India Bill, 2016";"Pending";"";"";"Ramesh Pokhriyal Nishank"
"2016-04-29";"The Economically Weaker Class (Provision of Certain Facilities) Bill, 2016";"Pending";"";"";"Ramesh Pokhriyal Nishank"
"2016-04-29";"The Mentally Retarded Children (Welfare) Bill, 2016";"Pending";"";"";"Ramesh Pokhriyal Nishank"
"2016-02-26";"The Constitution (Amendment) Bill, 2016 (Insertion of new Part IVB)";"Pending";"";"";"Ramesh Pokhriyal Nishank"
"2015-02-27";"The Youth Welfare Bill, 2015";"Pending";"";"";"Ramesh Pokhriyal Nishank"
"2015-02-27";"The Promotion of Two Child Norm Bill, 2015";"Pending";"";"";"Ramesh Pokhriyal Nishank"
"2015-02-27";"The Prevention of Influx of Foreign Nationals into the Country Bill, 2015";"Pending";"";"";"Ramesh Pokhriyal Nishank"
"2015-02-27";"The Eradication of Unemployment Bill, 2015";"Pending";"";"";"Ramesh Pokhriyal Nishank"
"2014-11-07";"The Council for Environment Protection Bill, 2014";"Pending";"";"";"Ramesh Pokhriyal Nishank"
"2014-11-07";"The Compulsory Teaching of Yoga in Educational Institutions Bill, 2014";"Pending";"";"";"Ramesh Pokhriyal Nishank"
"2014-11-07";"The Central Himalayan States Development Council Bill, 2014";"Withdrawn";"2014-11-28";"";"Ramesh Pokhriyal Nishank"
"2017-12-29";"The Railways (Amendment) Bill, 2017 (Amendment of section 3)";"Pending";"";"";"Ram Mohan Naidu Kinjarapu"
"2017-10-03";"The Marriages (Compulsory Registration and Prevention of Wasteful Expenditure) Bill, 2016";"Pending";"";"";"Ranjeet Ranjan"
"2017-10-03";"The Public Liability for Non-nuclear Industrial Mishap Bill, 2016";"Pending";"";"";"Ranjeet Ranjan"
"2016-04-29";"The Electricity (Amendment) Bill, 2016 (Amendment of section 113).";"Pending";"";"";"Ranjeet Ranjan"
"2016-04-29";"The Electro Homoeopathy System of Medicine (Recognition) Bill, 2016";"Pending";"";"";"Ranjeet Ranjan"
"2016-04-29";"The Financial Assistance for Girl Child Born to Parents Living Below Poverty Line Bill, 2016";"Pending";"";"";"Ranjeet Ranjan"
"2015-12-18";"The Compulsory Physical Fitness of Children Through Sports in Schools and Development of Sports Infrastructure Bill, 2015";"Pending";"";"";"Ranjeet Ranjan"
"2015-12-18";"The Distressed Farmers (Special Facilities, Protection and Welfare) Bill, 2015";"Pending";"";"";"Ranjeet Ranjan"
"2015-12-18";"The Distressed Veteran Sports Persons (Welfare) Bill, 2015";"Pending";"";"";"Ranjeet Ranjan"
"2017-03-24";"The Special Financial Assistance to the State of Punjab (for the Welfare of Farmers) Bill, 2017";"Pending";"";"";"Ravneet Singh"
"2017-03-24";"The Special Financial Assistance to the State of Punjab Bill, 2017";"Pending";"";"";"Ravneet Singh"
"2016-04-29";"The National Green Tribunal (Amendment) Bill, 2016 (Amendment of section 5)";"Pending";"";"";"Ravneet Singh"
"2015-08-05";"The Clinical Establishment (Registration and Regulation) Amendment Bill, 2015 (Substitution of new section for section 7, etc.)";"Pending";"";"";"Ravneet Singh"
"2018-03-08";"The National Council for Professional Social Work Practitioners Bill, 2018";"Pending";"";"";"Richard Hay"
"2017-10-03";"The Waste Management and Recycling Bill, 2016";"Pending";"";"";"Richard Hay"
"2016-05-08";"The Anglo-Indians Welfare Bill, 2016";"Pending";"";"";"Richard Hay"
"2018-03-08";"The National Agriculture and Farmers Commission Bill, 2018";"Pending";"";"";"Rodmal Nagar"
"2017-10-03";"The Constitution (Amendment) Bill, 2016 (Amendment of article 370)";"Pending";"";"";"Sadashiv Kisan Lokhande"
"2017-10-03";"The Constitution (Amendment) Bill, 2016 (Omission of article 44, etc.)";"Pending";"";"";"Sadashiv Kisan Lokhande"
"2015-02-27";"The Children Belonging to the Scheduled Castes and the Scheduled Tribes (Reservation and Compulsory Display of Seats by Educational Institutions) Bill, 2015";"Pending";"";"";"Sadashiv Kisan Lokhande"
"2015-02-27";"The Prohibition on Religious Conversion (By Inducement or Force) Bill, 2015";"Pending";"";"";"Sadashiv Kisan Lokhande"
"2015-02-27";"The Scheduled Castes and the Scheduled Tribes (Compulsory Notification and Filling up of Reserved Vacancies) Bill, 2015";"Pending";"";"";"Sadashiv Kisan Lokhande"
"2018-12-28";"The Code of Criminal Procedure (Amendment) Bill, 2017 (Amendment of section 41)";"Pending";"";"";"Sanjay Jaiswal"
"2018-12-28";"The Indian Penal Code (Amendment) Bill, 2017 (Amendment of section 358)";"Pending";"";"";"Sanjay Jaiswal"
"2017-10-03";"The Cigarettes and Other Tobacco Products (Prohibition of Advertisement and Regulation of Trade and Commerce, Production, Supply and Distribution) Amendment Bill, 2016 (Amendment of sections 4 and 6)";"Pending";"";"";"Sanjay Jaiswal"
"2017-10-03";"The Consumer Protection (Amendment) Bill, 2016 (Amendment of section 2)";"Pending";"";"";"Sanjay Jaiswal"
"2016-05-08";"The Prohibition of Child Marriage (Amendment) Bill, 2016 (Amendment of section 2, etc.)";"Pending";"";"";"Sanjay Jaiswal"
"2015-08-05";"The Contempt of Courts (Amendment) Bill, 2015 (Amendment of section 1, etc.)";"Pending";"";"";"Sanjay Jaiswal"
"2015-04-24";"The Medical Device Regulatory Authority Bill, 2015";"Pending";"";"";"Sanjay Jaiswal"
"2015-03-13";"The Food Safety and Standards (Amendment) Bill, 2015 (Amendment of section 3,etc.)";"Pending";"";"";"Sanjay Jaiswal"
"2015-03-13";"The Indian Penal Code (Amendment) Bill, 2015 (Substitution of new section for section 272)";"Pending";"";"";"Sanjay Jaiswal"
"2018-12-28";"The Responsible Parenthood Bill, 2018";"Pending";"";"";"Sanjeev Kumar Balyan"
"2017-07-21";"The Domestic Workers (Regulation of Work and Social Security) Bill, 2017";"Pending";"";"";"Sankar Prasad Datta"
"2015-03-13";"The Constitution (Amendment) Bill, 2015 (Insertion of new article 16A)";"Pending";"";"";"Sankar Prasad Datta"
"2015-03-13";"The Constitution (Amendment) Bill, 2015 (Insertion of new article 21B)";"Pending";"";"";"Sankar Prasad Datta"
"2015-03-13";"The Insurance Agents Welfare Fund Bill, 2015";"Pending";"";"";"Sankar Prasad Datta"
"2015-03-13";"The Old Age Pension Bill, 2015";"Pending";"";"";"Sankar Prasad Datta"
"2017-03-24";"The Constitution (Amendment) Bill, 2016 (Amendment of article 16)";"Pending";"";"";"Santokh Singh Chaudhary"
"2017-07-21";"The Compulsory Teaching of Vedic Education in Educational Institutions Bill, 2017";"Pending";"";"";"Satya Pal Singh"
"2017-10-03";"The Constitution (Amendment) Bill, 2016 (Amendment of article 15, etc.)";"Pending";"";"";"Satya Pal Singh"
"2017-10-03";"The Representation of the People (Amendment) Bill, 2017 (Insertion of new section 8B)";"Pending";"";"";"Saugata Roy"
"2016-04-29";"The Constitution (Amendment) Bill, 2016 (Insertion of new article 21B)";"Pending";"";"";"Saugata Roy"
"2016-04-29";"The Indian Penal Code (Amendment) Bill, 2016 (Substitution of new section for section 124A)";"Pending";"";"";"Saugata Roy"
"2016-04-29";"The Tea Garden Workers (Timely Payment of Dues) Bill, 2016";"Pending";"";"";"Saugata Roy"
"2014-11-28";"The Special Financial Assistance to the State of West Bengal Bill, 2014";"Pending";"";"";"Saugata Roy"
"2017-03-24";"The High Court at Patna (Establishment of a Permanent Bench at Bhagalpur) Bill, 2016";"Pending";"";"";"Shailesh Kumar Urph Bulo Mandal"
"2014-08-08";"The Constitution (Amendment) Bill, 2014 (Amendment of article 171)";"Pending";"";"";"Shailesh Kumar Urph Bulo Mandal"
"2014-08-08";"The Constitution (Amendment) Bill, 2014 (Amendment of article 243A)";"Pending";"";"";"Shailesh Kumar Urph Bulo Mandal"
"2016-04-29";"The Environment Protection (Control of Non-Biodegradable Gar-bage) Bill, 2016";"Pending";"";"";"Sharad Tripathi"
"2014-11-07";"The Abolition of Begging Bill, 2014";"Pending";"";"";"Sharad Tripathi"
"2014-11-07";"The Small and Marginal Farmers (Welfare) Bill, 2014";"Pending";"";"";"Sharad Tripathi"
"2018-12-28";"The Disaster Management (Amendment) Bill, 2018 (Insertion of new section 46A)";"Pending";"";"";"Shashi Tharoor"
"2018-12-28";"The Freedom of Literature Bill, 2018";"Pending";"";"";"Shashi Tharoor"
"2018-12-28";"The Sports (Online Gaming and Prevention of Fraud) Bill, 2018";"Pending";"";"";"Shashi Tharoor"
"2018-12-28";"The Women's Sexual, Reproductive and Menstrual Rights Bill, 2018";"Pending";"";"";"Shashi Tharoor"
"2018-03-08";"The Cinematograph (Amendment) Bill, 2018 (Amendment of section 4, etc.)";"Pending";"";"";"Shashi Tharoor"
"2018-03-08";"The Criminal Law (Amendment) Bill, 2017 (Amendment of section 354D, etc.)";"Pending";"";"";"Shashi Tharoor"
"2018-03-08";"The Data Privacy and Protection Bill, 2017";"Pending";"";"";"Shashi Tharoor"
"2018-03-08";"The Death Penalty (Abolition) Bill, 2017";"Pending";"";"";"Shashi Tharoor"
"2017-10-03";"The Anti-Discrimination and Equality Bill, 2016";"Pending";"";"";"Shashi Tharoor"
"2017-10-03";"The Protection of Traditional Knowledge Bill, 2016";"Pending";"";"";"Shashi Tharoor"
"2016-05-08";"The Constitution (Amendment) bill, 2016 (Amendment of article 243Q, etc.)";"Pending";"";"";"Shashi Tharoor"
"2016-05-08";"The Domestic Workers Welfare Bill, 2016";"Pending";"";"";"Shashi Tharoor"
"2015-12-18";"The Asylum Bill, 2015";"Pending";"";"";"Shashi Tharoor"
"2015-12-18";"The Indian Penal Code (Amendment) Bill, 2015 (Substitution of new section for section 124A";"Pending";"";"";"Shashi Tharoor"
"2014-12-12";"The Establishment of Permanent Benches of High Courts at State Capitals Bill, 2014";"Pending";"";"";"Shashi Tharoor"
"2014-12-12";"The Public Records (Amendment) Bill, 2014 (Amendment of Section 2, etc.)";"Pending";"";"";"Shashi Tharoor"
"2018-12-28";"The Abolition of Begging and Rehabilitation of Beggars Bill, 2018";"Pending";"";"";"Shivaji Adhalrao Patil"
"2018-12-28";"The Free and Compulsory Primary, Secondary, Higher and Technical Education Bill, 2018";"Pending";"";"";"Shivaji Adhalrao Patil"
"2018-12-28";"The Women's (Reservation in Workplace) Bill, 2018";"Pending";"";"";"Shivaji Adhalrao Patil"
"2018-03-08";"The Compulsory Establishment of Medical Centres in Schools Bill, 2018";"Pending";"";"";"Shivaji Adhalrao Patil"
"2018-03-08";"The Compulsory First-Aid Training in Schools Bill, 2018";"Pending";"";"";"Shivaji Adhalrao Patil"
"2018-03-08";"The Maternity Benefit (Amendment) Bill, 2018 (Amendment of section 3, etc.)";"Pending";"";"";"Shivaji Adhalrao Patil"
"2018-03-08";"The Prevention of Cruelty to Animals (Amendment) Bill, 2018 (Amendment of section 22)";"Pending";"";"";"Shivaji Adhalrao Patil"
"2017-12-29";"The Agricultural and Other Unorganised Workers (Protection and Welfare) Bill, 2017";"Pending";"";"";"Shivaji Adhalrao Patil"
"2017-12-29";"The E-Commerce (Regulation) Bill, 2017";"Pending";"";"";"Shivaji Adhalrao Patil"
"2017-12-29";"The Management of Religious Institutions and Places of Worship Bill, 2017";"Pending";"";"";"Shivaji Adhalrao Patil"
"2017-12-29";"The Victims of Terrorism (Compensation and Miscellaneous Provisions) Bill, 2017";"Pending";"";"";"Shivaji Adhalrao Patil"
"2017-07-04";"The Payment of Pension to Farmers in Drought Affected Areas Bill, 2016";"Pending";"";"";"Shivaji Adhalrao Patil"
"2017-07-04";"The Railways (Amendment) Bill, 2016 (Amendment of sections 126 and 127)";"Pending";"";"";"Shivaji Adhalrao Patil"
"2015-07-08";"The Constitution (Amendment) Bill, 2015 (Insertion of new article 15A)";"Pending";"";"";"Shivaji Adhalrao Patil"
"2015-07-08";"The Education Bill, 2015";"Pending";"";"";"Shivaji Adhalrao Patil"
"2015-07-08";"The Railways (Amendment) Bill, 2015 (Insertion of new Chapter XIIIA)";"Pending";"";"";"Shivaji Adhalrao Patil"
"2019-08-02";"The Forest Conservation (Amendment) Bill, 2018 (Amendment of sections 2 and 3)";"Pending";"";"";"Shrikant Eknath Shinde"
"2018-12-28";"The Prevention of Violence Against Doctors, Medical Professionals and Medical Institutions Bill, 2018";"Pending";"";"";"Shrikant Eknath Shinde"
"2018-03-08";"The Maintenance of Food, Potable Water and Fodder Supplies in Drought Affected Areas, Bill, 2018";"Pending";"";"";"Shrikant Eknath Shinde"
"2018-03-08";"The Ocean Thermal Energy Conversion Bill, 2018";"Pending";"";"";"Shrikant Eknath Shinde"
"2018-03-08";"The Provision of Health Card (For Persons Living Below Poverty Line) Bill, 2018";"Pending";"";"";"Shrikant Eknath Shinde"
"2017-12-29";"The Employment Bill, 2017";"Pending";"";"";"Shrikant Eknath Shinde"
"2017-12-29";"The Illegal Immigrants (Identification and Deportation) Bill, 2017";"Pending";"";"";"Shrikant Eknath Shinde"
"2017-12-29";"The Violent and Indecent Online Games (Prohibition on Distribution, Sale and Advertisement) Bill, 2017";"Pending";"";"";"Shrikant Eknath Shinde"
"2018-03-08";"The Solar Energy Promotion Bill, 2018";"Pending";"";"";"Shrirang Appa Barne"
"2018-03-08";"The Rural Labour Welfare Bill, 2018";"Pending";"";"";"Shrirang Appa Barne"
"2018-03-08";"The River (Conservation and Elimination of Pollution) Bill, 2018";"Pending";"";"";"Shrirang Appa Barne"
"2018-03-08";"The Medical Termination of Pregnancy (Amendment) Bill, 2018 (Amendment of section 3, etc.)";"Pending";"";"";"Shrirang Appa Barne"
"2017-12-29";"The Sportspersons (Welfare) Bill, 2017";"Pending";"";"";"Shrirang Appa Barne"
"2017-12-29";"The Compulsory Military Training in Schools and Colleges Bill, 2017";"Pending";"";"";"Shrirang Appa Barne"
"2017-12-29";"The Compulsory Voting Bill, 2017";"Pending";"";"";"Shrirang Appa Barne"
"2017-12-29";"The Right to Protection of Crop Produce Bill, 2017";"Pending";"";"";"Shrirang Appa Barne"
"2017-10-03";"The Welfare of Families of Defence Personnel Bill, 2016";"Pending";"";"";"Shrirang Appa Barne"
"2017-10-03";"The Drugs (Price Control) Bill, 2016";"Pending";"";"";"Shrirang Appa Barne"
"2017-10-03";"The Constitution (Amendment) Bill, 2016 (Amendment of article 16)";"Pending";"";"";"Shrirang Appa Barne"
"2017-10-03";"The Cantonments (Amendment) Bill, 2016 (Amendment of section 12)";"Pending";"";"";"Shrirang Appa Barne"
"2016-05-08";"The Ban on Plastic Items Bill, 2016";"Pending";"";"";"Shrirang Appa Barne"
"2016-04-29";"The Heritage Cities and Sites Development Bill, 2016";"Pending";"";"";"Shrirang Appa Barne"
"2016-04-29";"The Motor Vehicles (Amendment) Bill, 2016 (Amendment of section 40)";"Pending";"";"";"Shrirang Appa Barne"
"2016-04-29";"The Port Trusts (Reservation in Employment to Local persons) Bill, 2016";"Pending";"";"";"Shrirang Appa Barne"
"2015-12-18";"The High Court of Bombay (Establishment of a Permanent Bench at Pune) Bill, 2015";"Pending";"";"";"Shrirang Appa Barne"
"2015-12-18";"The Representation of the People (Amendment) Bill, 2015 (Insertion of new section 61B)";"Pending";"";"";"Shrirang Appa Barne"
"2015-12-18";"The Forest (Conservation) Amendment Bill, 2015 (Amendment of section 2)";"Pending";"";"";"Shrirang Appa Barne"
"2015-12-18";"The Constitution (Scheduled Tribes) Order (Amendment) Bill, 2015 (Amendment of the Schedule)";"Pending";"";"";"Shrirang Appa Barne"
"2017-03-24";"The Narcotic Drugs and Psychotropic Substances (Amendment) Bill, 2017 (Insertion of new section 6A to 6D)";"Pending";"";"";"Sudhir Gupta"
"2017-10-03";"The National Law Universities of India Bill, 2016";"Pending";"";"";"Sugata Bose"
"2017-10-03";"The Representation of the People (Amendment) Bill, 2016(Insertion of new section 32A)";"Pending";"";"";"Sugata Bose"
"2017-12-29";"The Agricultural Produce (Remunerative Support Prices and Miscellaneous Provisions) Bill, 2017";"Pending";"";"";"Sukhbir Singh Jaunapuria"
"2017-12-29";"The Forest (Conservation) Amendment Bill, 2017(Insertion of new sections 3C and 3D)";"Pending";"";"";"Sukhbir Singh Jaunapuria"
"2017-12-29";"The Mahatma Gandhi National Rural Employment Guarantee (Amendment) Bill, 2017 (Amendment of Schedule II)";"Pending";"";"";"Sukhbir Singh Jaunapuria"
"2017-03-24";"The Compulsory Voting Bill, 2016";"Pending";"";"";"Sukhbir Singh Jaunapuria"
"2017-03-24";"The Farmers Welfare Fund bill, 2016";"Pending";"";"";"Sukhbir Singh Jaunapuria"
"2016-05-08";"The Child Development Bill, 2016";"Pending";"";"";"Sukhbir Singh Jaunapuria"
"2016-05-08";"The Old Age Pension Bill, 2016";"Pending";"";"";"Sukhbir Singh Jaunapuria"
"2016-05-08";"The Rainwater (Compulsory Harvesting) Bill, 2016";"Pending";"";"";"Sukhbir Singh Jaunapuria"
"2016-05-08";"The Wild Life (Protection) Amendment Bill, 2016 (Amendment of section 9)";"Pending";"";"";"Sukhbir Singh Jaunapuria"
"2016-11-03";"The Destitute Children (Rehabilitation and Welfare) Bill, 2016";"Pending";"";"";"Sukhbir Singh Jaunapuria"
"2018-03-08";"The Women Farmers? Entitlements Bill, 2018";"Pending";"";"";"Sunil Kumar Singh"
"2018-03-08";"The Renewable Energy Resources Commission Bill, 2017";"Pending";"";"";"Sunil Kumar Singh"
"2018-03-08";"The Prevention of Begging Bill, 2018";"Pending";"";"";"Sunil Kumar Singh"
"2017-12-29";"The Prevention of Corruption (Amendment) Bill, 2017 (Amendment of sections17 and 19)";"Pending";"";"";"Sunil Kumar Singh"
"2017-12-29";"The Agricultural Produce (Remunerative Support Prices and Miscellaneous Provisions) Bill, 2017";"Pending";"";"";"Sunil Kumar Singh"
"2017-12-29";"The Establishment of Schools upto Senior Secondary Level Bill, 2017";"Pending";"";"";"Sunil Kumar Singh"
"2017-12-29";"The Cashew Development Board Bill, 2017";"Pending";"";"";"Sunil Kumar Singh"
"2017-03-24";"The Tourism Promotion Authority Bill, 2016";"Pending";"";"";"Sunil Kumar Singh"
"2016-05-08";"The Constitution (Amendment) Bill, 2016 (Amendment of article 72)";"Pending";"";"";"Sunil Kumar Singh"
"2016-05-08";"The Sculptors and Artists of Rural Areas Welfare Bill, 2016";"Pending";"";"";"Sunil Kumar Singh"
"2015-12-18";"The Jharkhand Atomic Authority Bill, 2015";"Pending";"";"";"Sunil Kumar Singh"
"2015-12-18";"The Mega Projects (Timely Completion) Bill, 2015";"Pending";"";"";"Sunil Kumar Singh"
"2015-12-18";"The Constitution (Amendment) Bill, 2015 (Amendment of the Eighth Schedule)";"Pending";"";"";"Sunil Kumar Singh"
"2015-12-18";"The Widows' Welfare Bill, 2015";"Pending";"";"";"Sunil Kumar Singh"
"2015-07-08";"The Girl Child (Prevention of Commercialised Trafficking, Rehabilitation and Welfare) Bill, 2015";"Pending";"";"";"Sunil Kumar Singh"
"2015-07-08";"The Victims of Naxalite Acts of Violence (Relief and Rehabilitation) Bill, 2015";"Pending";"";"";"Sunil Kumar Singh"
"2015-07-08";"The Special Irrigation Development Fund (For Forest Areas) Bill, 2015";"Pending";"";"";"Sunil Kumar Singh"
"2015-03-13";"The Special Financial Assistance to the State of Jharkhand Bill, 2015";"Pending";"";"";"Sunil Kumar Singh"
"2015-02-27";"The Beedi Workers Welfare Bill, 2014";"Pending";"";"";"Sunil Kumar Singh"
"2015-02-27";"The Private Schools (Regulation) Bill, 2014";"Pending";"";"";"Sunil Kumar Singh"
"2014-08-08";"The Prevention of Cruelty to Cows Bill, 2014";"Pending";"";"";"Sunil Kumar Singh"
"2014-08-08";"The National Commission for Youth Bill, 2014";"Pending";"";"";"Sunil Kumar Singh"
"2018-12-28";"The Tuberculosis (Prevention and Eradication) Bill, 2018";"Pending";"";"";"Supriya Sule"
"2018-12-28";"The Right to Disconnect Bill, 2018";"Pending";"";"";"Supriya Sule"
"2018-12-28";"The Gender Sensitization (Training and Education) Bill, 2018";"Pending";"";"";"Supriya Sule"
"2018-03-08";"The Skill (Training and Education) Bill, 2018";"Pending";"";"";"Supriya Sule"
"2018-03-08";"The Menstrual Hygiene Management (Awareness and Affordable Sanitary Napkin Distribution) Bill, 2018";"Pending";"";"";"Supriya Sule"
"2018-03-08";"The Anganwadi Workers (Empowerment and Welfare) Bill, 2018";"Pending";"";"";"Supriya Sule"
"2017-12-29";"The Autism Spectrum Disorders (Recognition and Treatment) Bill, 2017";"Pending";"";"";"Supriya Sule"
"2017-12-29";"The Breast Cancer (Awareness and Free Treatment) Bill, 2017";"Pending";"";"";"Supriya Sule"
"2017-12-29";"The Universal Health Coverage (Medical and Financial Assistance) Bill, 2017";"Pending";"";"";"Supriya Sule"
"2017-12-29";"The Families of Farmers (Financial Assistance and Rehabilitation) Bill, 2017";"Pending";"";"";"Supriya Sule"
"2017-10-03";"The Indian Penal Code (Amendment) Bill, 2016 (Amendment of section 292, etc.)";"Pending";"";"";"Supriya Sule"
"2017-10-03";"The Special Courts for Trial of Offences against Women Bill, 2016";"Pending";"";"";"Supriya Sule"
"2017-10-03";"The Higher Educational Institutions (Regulation of Fee) Bill, 2017";"Pending";"";"";"Supriya Sule"
"2017-10-03";"The Free and Compulsory Secondary and Senior Secondary Education Bill, 2016";"Pending";"";"";"Supriya Sule"
"2015-04-12";"The Mental Health (Amendment) Bill, 2015 (Insertion of new Chapter IIIA)";"Pending";"";"";"Supriya Sule"
"2015-04-12";"The Environment (Protection) Amendment Bill, 2015 (Insertion of new Chapter IIIA)";"Pending";"";"";"Supriya Sule"
"2015-04-12";"The Compulsory Teaching of Financial Education in Educational Institutions Bill, 2015";"Pending";"";"";"Supriya Sule"
"2015-04-12";"The Waste Segregation and Collection Bill, 2015";"Pending";"";"";"Supriya Sule"
"2015-02-27";"The Medical Therapy Practitioners and Clinics (Regulation and Control) Bill, 2014";"Pending";"";"";"Supriya Sule"
"2015-02-27";"The Free and Compulsory Education for Children of Parents Living Below Poverty Line Bill, 2014";"Pending";"";"";"Supriya Sule"
"2015-02-27";"The Two Child Norm Bill, 2014";"Pending";"";"";"Supriya Sule"
"2015-02-27";"The Children Protection Bill, 2014";"Pending";"";"";"Supriya Sule"
"2015-12-18";"The Prohibition Bill, 2015";"Pending";"";"";"Suresh Kodikunnil"
"2015-12-18";"The Reservation for Scheduled Castes and Scheduled Tribes in Private Sector Bill, 2015";"Pending";"";"";"Suresh Kodikunnil"
"2015-12-18";"The Residential Schools (for Scheduled Castes and Scheduled Tribes) Bill, 2015";"Pending";"";"";"Suresh Kodikunnil"
"2014-12-12";"The Central Homoeopathy University Bill, 2014";"Pending";"";"";"Suresh Kodikunnil"
"2014-12-12";"The commercial Crop Workers (Welfare) Bill, 2014";"Pending";"";"";"Suresh Kodikunnil"
"2014-12-12";"The Scheduled Castes Hamlets (Provision of Basic Facilities) Bill, 2014";"Pending";"";"";"Suresh Kodikunnil"
"2018-03-08";"The Code of Criminal Procedure (Amendment) Bill, 2017(Amendment of section 451)";"Pending";"";"";"Sushil Kumar Singh"
"2018-03-08";"The Constitution (Amendment) Bill, 2017 (Insertion of new article 21B)";"Pending";"";"";"Sushil Kumar Singh"
"2018-03-08";"The Constitution (Amendment) Bill, 2018 (Amendment of the Eighth Schedule)";"Pending";"";"";"Sushil Kumar Singh"
"2018-03-08";"The Population (Stabilization and Planning) Bill, 2018";"Pending";"";"";"Sushil Kumar Singh"
"2016-11-03";"The Artisans (Welfare) Bill, 2015";"Pending";"";"";"Sushil Kumar Singh"
"2015-02-27";"The Constitution (Amendment) Bill, 2015 (Insertion of new article 21B)";"Pending";"";"";"Sushil Kumar Singh"
"2015-02-27";"The Insurance (Amendment) Bill, 2015 (Amendment of section 2, etc.)";"Pending";"";"";"Sushil Kumar Singh"
"2017-12-29";"The Constitution (Amendment) Bill, 2017 (Amendment of article 32, etc.)";"Pending";"";"";"Sushmita Dev"
"2017-12-29";"The Maintenance and Welfare of Parents and Senior Citizens (Amendment) Bill, 2017 (Insertion of new Chapter IIA and IIB)";"Pending";"";"";"Sushmita Dev"
"2017-10-03";"The Gauhati High Court (Establishment of a Permanent Bench at Silchar) Bill, 2016";"Pending";"";"";"Sushmita Dev"
"2014-12-12";"The Constitution (Amendment) Bill, 2014 (Amendment of the Eighth Schedule)";"Pending";"";"";"Tamradhwaj Sahu"
