"Date of introduction";"Bill title";"Current Status";"Date - Passage / Withdrawal /Lapsing";"link";"Representative"
"2024-08-09 00:00:00";"The Andhra Pradesh Reorganisation (Amendment) Bill, 2024 (Insertion of new section 90A)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/106 of 2024 AS89202445650PM.pdf?source=legislation";"Maddila Gurumoorthy"
"2024-08-09 00:00:00";"The Micro, Small and Medium Enterprises Development (Amendment) Bill, 2024 (Insertion of new sections 10A and 10B)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/71 of 2024 AS89202445901PM.pdf?source=legislation";"D M Kathir Anand"
"2024-08-09 00:00:00";"The Food Safety and Standards (Amendment) Bill, 2024 (Amendment of section 3,etc.)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/88 of 2024 AS89202445843PM.pdf?source=legislation";"D M Kathir Anand"
"2024-08-09 00:00:00";"The Special Financial Assistance for Ancient Monuments and Archaeological Sites and Remains in the State of Tamil Nadu Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/82 of 2024 AS89202445811PM.pdf?source=legislation";"D M Kathir Anand"
"2024-07-26 00:00:00";"The High Court of Kerala (Establishment of a Permanent Bench at Thiruvananthapuram) Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/27 of 2024 As Introduced726202445052PM.pdf?source=legislation";"Shashi Tharoor"
"2024-07-26 00:00:00";"The Transgender Persons (Protection of Rights) Amendment Bill, 2024 (Insertion of new sections 8A and 13A)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/26 of 2024 As Introduced726202445124PM.pdf?source=legislation";"Shashi Tharoor"
"2024-07-26 00:00:00";"The Constitution (Amendment) Bill, 2024 (Amendment of article 81)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/61 of 2024 as726202444802PM.pdf?source=legislation";"Shashi Tharoor"
"2024-08-09 00:00:00";"The Constitution (Amendment) Bill, 2024 (Amendment of article 324, etc.)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/67 of 2024 AS89202445533PM.pdf?source=legislation";"Manish Tewari"
"2024-08-09 00:00:00";"The Intelligence Services (Powers and Regulation) Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/78 of 2024 AS89202454426PM.pdf?source=legislation";"Manish Tewari"
"2024-08-09 00:00:00";"The Constitution (Amendment) Bill, 2024 (Amendment of article 80, etc.)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/86 of 2024 AS89202445513PM.pdf?source=legislation";"Manish Tewari"
"2024-07-26 00:00:00";"The Promotion of Rational Thought Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/41 As Introduced726202444957PM.pdf?source=legislation";"Benny Behanan"
