"Date of introduction";"Bill title";"Current Status";"Date - Passage / Withdrawal /Lapsing";"link";"Representative"
"2023-08-04";"The Constitution (Scheduled Castes) Order (Amendment) Bill, 2022 (Omission of paragraph 3)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/226 of 2022 (AS)84202374010PM.pdf?source=legislation";"Abdul Khaleque"
"2023-08-04";"The Sculptors, Artists and Artisans of Rural Areas Upliftment Council Bill, 2022";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/216 of 2022 as84202375733PM.pdf?source=legislation";"Shrirang Appa Barne"
"2023-08-04";"The Constitution (Amendment) Bill, 2022 (Amendment of article 312)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/238 of 2022 (EV) As Introduced84202373920PM.pdf?source=legislation";"Heena Vaijaykumar Gavit"
"2023-08-04";"The Maintenance and Welfare of parents and Senior Citizens (Amendment) Bill, 2022 (Amendment of section 21, etc.)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/241 of 2022 (EV) (As Introduced)84202373859PM.pdf?source=legislation";"Heena Vaijaykumar Gavit"
"2023-08-04";"The Micro, Small and Medium Enterprises Development (Amendment) Bill, 2022 (Amendment of section 2, etc.)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/253 of 2022 as84202373943PM.pdf?source=legislation";"Heena Vaijaykumar Gavit"
"2023-08-04";"The Healthcare Professionals (Protection from Violence and Harassment) Bill, 2023";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/105 of 2023 as intro84202372022PM.pdf?source=legislation";"Hibi Eden"
"2023-08-04";"The Pokkali Farming (Protection, Enrichment and Welfare) Bill, 2023";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/108 of 2023 AS84202372049PM.pdf?source=legislation";"Hibi Eden"
"2023-08-04";"The Mental Healthcare (Amendment) Bill, 2022 (Amendment of section 17, etc.)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/263 of 2022 as84202374216PM.pdf?source=legislation";"Shrikant Eknath Shinde"
"2023-08-04";"The Code of Civil Procedure (Amendment) Bill, 2022 (Amendment of section 23, etc.)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/289 of 2022 as84202374240PM.pdf?source=legislation";"Shrikant Eknath Shinde"
"2023-08-04";"The Constitution (Amendment) Bill, 2021 (Amendment of Seventh Schedule)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/127 OF 2021 AS84202381543PM.pdf?source=legislation";"Jagdambika Pal"
"2023-08-04";"The Motor Vehicles (Amendment) Bill, 2022 (Amendment of section 2, etc.)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/119 of 2022(E84202371347PM.V) As intro.pdf?source=legislation";"Jagdambika Pal"
"2023-08-04";"The Right to Information (Amendment) Bill, 2023 (Amendment of section 2, etc.)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/4 of 2023 (E84202374441PM.V.) (As Intro.).pdf?source=legislation";"Jagdambika Pal"
"2023-08-04";"The High Court of Kerala (Establishment of a Permanent Bench at Thiruvananthapuram) Bill, 2023";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/63 OF 2023 AS INTRO84202372331PM.pdf?source=legislation";"Shashi Tharoor"
"2023-08-04";"The Healthcare Personnel and Healthcare Institutions (Prohibition of Violence and Damage to Property) Bill, 2023";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/99 of 2023 AS84202371745PM.pdf?source=legislation";"Shashi Tharoor"
"2023-08-04";"The Dalit, Backward and Oppressed Youth (Development and Welfare) Bill, 2022";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/229 of 2022 (EV) As Introduced84202374929PM.pdf?source=legislation";"Janardan Singh Sigriwal"
"2023-08-04";"The Promotion of Social and Emotional Learning in Schools Bill, 2022";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/239 of 2022 (Ev) (As Introduced)84202374907PM.pdf?source=legislation";"Janardan Singh Sigriwal"
"2023-08-04";"The Tour Operators and Travel Agents (Regulation) Bill, 2022";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/222 of 2022 (EV) As Introduced84202375000PM.pdf?source=legislation";"Janardan Singh Sigriwal"
"2023-08-04";"The Rights of Persons with Disabilities (Amendment) Bill, 2023 (Amendment of section 2, etc.)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/12 of 2023 As Bill No84202373341PM.pdf?source=legislation";"Sanjeev Kumar Ayushman"
"2023-08-04";"The Plastic Manufacturing (Regulation) Bill, 2019";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/285 of 2019 as84202365706PM.pdf?source=legislation";"Jasbir Singh"
"2023-08-04";"The Prevention of Wasteful Expenditure on Special Occasions Bill, 2020";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/59 of 2020 as introduced 84202370003PM.pdf?source=legislation";"Jasbir Singh"
"2023-08-04";"The Handloom Weavers and Workers (Welfare) Authority Bill, 2023";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/58 of 2023 as intro84202372758PM.pdf?source=legislation";"Sanjeev Kumar Ayushman"
"2023-08-04";"The Constitution (Amendment) Bill, 2023 (Amendment of article 312)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/23 of 2023 as introd84202373402PM.pdf?source=legislation";"Sanjeev Kumar Ayushman"
