"Date";"Debate title/Bill name";"Debate Type";"link";"Representative"
"2024-08-01 00:00:00";"Discussion on the Demands for Grants Nos. 25 and 26 under the control of the Ministry of Education";"Budget (General)";"/mptrack/debatenotfound";"Brijesh Chowta"
"2024-07-30 00:00:00";"(i) General Discussion on the Budget�2024-25; (ii) General Discussion on the Budget of Union Territory of Jammu and Kashmir for 2024-25; and (iii) Demands for Grants in respect of Union Territory of Jammu and Kashmir-2024-25.";"Budget (General)";"/mptrack/debatenotfound";"Brijesh Chowta"
"2024-07-29 00:00:00";"Regarding prevalence of drug abuse in Dakshina Kannada";"LS - Matters under (Rule-377)";"/mptrack/debatenotfound";"Brijesh Chowta"
"2024-07-24 00:00:00";"Regarding plight of Arecanut farmers affected by spread of yellow disease in Dakshina Kannada Parliamentary Constituency";"LS - Matters under (Rule-377)";"/mptrack/debatenotfound";"Brijesh Chowta"
"2024-07-02 00:00:00";"Motion of Thanks on the President's Address";"Motion of Thanks on the President's Address";"/mptrack/debatenotfound";"Brijesh Chowta"
"2024-08-07 00:00:00";"Request to govt to restart the milk powder production unit of latur as soon as possible";"Special Mention";"/mptrack/debatenotfound";"Shivaji Bandappa Kalge"
"2024-08-02 00:00:00";"Discussion on the Demands for Grants Nos. 46 and 47 under the control of the Ministry of Health and Family Welfare";"Budget (General)";"/mptrack/debatenotfound";"Shivaji Bandappa Kalge"
"2024-07-29 00:00:00";"Regarding need to restart Marathwada Rail Coach Factory";"LS - Matters under (Rule-377)";"/mptrack/debatenotfound";"Shivaji Bandappa Kalge"
"2024-08-08 00:00:00";"Request to govt develop jaipur as an IT hub";"Special Mention";"/mptrack/debatenotfound";"Dushyant Singh"
"2024-08-05 00:00:00";"Regarding completion of the Parvan River Multipurpose Project";"LS - Matters under (Rule-377)";"/mptrack/debatenotfound";"Dushyant Singh"
"2024-08-05 00:00:00";"Discussion on the Demands for Grants Nos. 43 and 44 under the control of the Ministry of Fisheries, Animal Husbandry and Dairying";"Budget (General)";"/mptrack/debatenotfound";"Dushyant Singh"
"2024-07-29 00:00:00";"Regarding impact assessment of Jal Jeevan Mission in Jhalawar-Baran Parliamentary Constituency";"LS - Matters under (Rule-377)";"/mptrack/debatenotfound";"Dushyant Singh"
"2024-07-26 00:00:00";"Resolution regarding appropriate measures to regulate airfare in the country";"Private Members' Resolutions";"/mptrack/debatenotfound";"Dushyant Singh"
"2024-07-24 00:00:00";"Regarding establishment of New Trauma Care Centres in the Country";"LS - Matters under (Rule-377)";"/mptrack/debatenotfound";"Dushyant Singh"
"2024-07-24 00:00:00";"Regarding request for sanctioning of Railway lines between Dehradun and Kalsi";"LS - Matters under (Rule-377)";"/mptrack/debatenotfound";"Mala Rajya Laxmi Shah"
"2024-08-05 00:00:00";"Regarding construction of the Inter Modal Bus station in Tirupati";"LS - Matters under (Rule-377)";"/mptrack/debatenotfound";"Maddila Gurumoorthy"
"2024-08-05 00:00:00";"Discussion on the Demands for Grants Nos. 43 and 44 under the control of the Ministry of Fisheries, Animal Husbandry and Dairying";"Budget (General)";"/mptrack/debatenotfound";"Maddila Gurumoorthy"
"2024-08-02 00:00:00";"Discussion on the Demands for Grants Nos. 46 and 47 under the control of the Ministry of Health and Family Welfare";"Budget (General)";"/mptrack/debatenotfound";"Maddila Gurumoorthy"
"2024-07-31 00:00:00";"Discussion on the Demand for Grant No. 85 under the control of the Ministry of Railways";"Budget (General)";"/mptrack/debatenotfound";"Maddila Gurumoorthy"
"2024-07-29 00:00:00";"Regarding safety and security of former Chief Minister and Members of Parliament of Andhra Pradesh";"LS - Matters under (Rule-377)";"/mptrack/debatenotfound";"Maddila Gurumoorthy"
"2024-07-22 00:00:00";"Regarding problems faced by fishermen community in Tirupati Parliamentary Constituency";"LS - Matters under (Rule-377)";"/mptrack/debatenotfound";"Maddila Gurumoorthy"
"2024-07-31 00:00:00";"Regarding request for investigation into alleged irregularities in Iron Ore mining in Odisha";"LS - Matters under (Rule-377)";"/mptrack/debatenotfound";"Pradeep Purohit"
"2024-07-25 00:00:00";"Regarding need to bring Ayurveda College in Paikmal, Bargarh under Central Government";"LS - Matters under (Rule-377)";"/mptrack/debatenotfound";"Pradeep Purohit"
"2024-07-24 00:00:00";"Request to minister to provide stoppage of trains and passengers facilities at the sakti railway station, Chhattisgarh";"Special Mention";"/mptrack/debatenotfound";"Kamlesh Jangde"
"2024-08-09 00:00:00";"Request to govt rehabilated the people affected by the flood in maldaha north and provide compensation to them";"Special Mention";"/mptrack/debatenotfound";"Khagen Murmu"
"2024-08-07 00:00:00";"Regarding establishment of airport in Maldah Parliamentary Constituency, West Bengal";"LS - Matters under (Rule-377)";"/mptrack/debatenotfound";"Khagen Murmu"
"2024-08-05 00:00:00";"Discussion on the Demands for Grants Nos. 46 and 47 under the control of the Ministry of Health and Family Welfare";"Budget (General)";"/mptrack/debatenotfound";"Khagen Murmu"
"2024-08-02 00:00:00";"Regarding inclusion of Employment centric curriculum in GK CIET and UG/ITI level courses";"LS - Matters under (Rule-377)";"/mptrack/debatenotfound";"Khagen Murmu"
"2024-08-01 00:00:00";"Discussion on the Demand for Grant No. 85 under the control of the Ministry of Railways";"Budget (General)";"/mptrack/debatenotfound";"Khagen Murmu"
"2024-08-01 00:00:00";"Discussion on the Demands for Grants Nos. 25 and 26 under the control of the Ministry of Education";"Budget (General)";"/mptrack/debatenotfound";"Khagen Murmu"
"2024-07-30 00:00:00";"(i) General Discussion on the Budget�2024-25; (ii) General Discussion on the Budget of Union Territory of Jammu and Kashmir for 2024-25; and (iii) Demands for Grants in respect of Union Territory of Jammu and Kashmir-2024-25.";"Budget (General)";"/mptrack/debatenotfound";"Khagen Murmu"
"2024-07-25 00:00:00";"Regarding relief and rehabilitation of flood affected people by Ganga, Phulhar and Koshi Rivers";"LS - Matters under (Rule-377)";"/mptrack/debatenotfound";"Khagen Murmu"
"2024-07-02 00:00:00";"Motion of Thanks on the President's Address";"Motion of Thanks on the President's Address";"/mptrack/debatenotfound";"Khagen Murmu"
"2024-07-30 00:00:00";"Regarding implementation of Jal Jeevan Mission in Vijjayawada Parliamentary Constituency";"LS - Matters under (Rule-377)";"/mptrack/debatenotfound";"Kesineni Sivanath"
"2024-07-22 00:00:00";"Regarding development of Polavaram irrigation project in Andhra Pradesh";"LS - Matters under (Rule-377)";"/mptrack/debatenotfound";"Kesineni Sivanath"
"2024-07-25 00:00:00";"(i) General Discussion on the Budget-2024-25; (ii) General Discussion on the Budget of Union Territory of Jammu and Kashmir for 2024-25; and (iii) Demands for Grants in respect of Union Territory of Jammu and Kashmir-2024-25.";"Budget (General)";"/mptrack/debatenotfound";"Charanjit Singh Channi"
"2024-08-07 00:00:00";"The Finance (No.2) Bill, 2024";"Government Bills";"/mptrack/debatenotfound";"Kalanidhi Veeraswamy"
"2024-08-06 00:00:00";"Request to govt to allocate 3 lakh crore for healthcare an establish an indian medical service like several all-india services";"Special Mention";"/mptrack/debatenotfound";"Kalanidhi Veeraswamy"
"2024-08-02 00:00:00";"Regarding RRB officials have introduced a clause whereby the reservation policy is being affected";"Special Mention";"/mptrack/debatenotfound";"Kalanidhi Veeraswamy"
"2024-07-30 00:00:00";"(i) General Discussion on the Budget�2024-25; (ii) General Discussion on the Budget of Union Territory of Jammu and Kashmir for 2024-25; and (iii) Demands for Grants in respect of Union Territory of Jammu and Kashmir-2024-25.";"Budget (General)";"/mptrack/debatenotfound";"Kalanidhi Veeraswamy"
"2024-07-26 00:00:00";"Resolution regarding appropriate measures to regulate airfare in the country";"Private Members' Resolutions";"/mptrack/debatenotfound";"Kalanidhi Veeraswamy"
"2024-08-01 00:00:00";"Discussion on the Demands for Grants Nos. 25 and 26 under the control of the Ministry of Education";"Budget (General)";"/mptrack/debatenotfound";"Manish Jaiswal"
"2024-07-26 00:00:00";"Regarding alleged Bangladeshi infiltration in Jharkhand";"LS - Matters under (Rule-377)";"/mptrack/debatenotfound";"Manish Jaiswal"
"2024-07-24 00:00:00";"Request to minister start the trains for mumbai, delhi, chennai, bangalore from hazaribagh station";"Special Mention";"/mptrack/debatenotfound";"Manish Jaiswal"
"2024-08-09 00:00:00";"Regarding need to promote spiritual tourism in Himachal Pradesh and also set up a Yoga Vidyalaya in Mandi area of the States";"LS - Matters under (Rule-377)";"/mptrack/debatenotfound";"Kangna Ranaut"
"2024-08-02 00:00:00";"Regarding need to construct Sports Complex in Sarkaghat, Himachal Pradesh";"LS - Matters under (Rule-377)";"/mptrack/debatenotfound";"Kangna Ranaut"
"2024-07-26 00:00:00";"(i) General Discussion on the Budget-2024-25; (ii) General Discussion on the Budget of Union Territory of Jammu and Kashmir for 2024-25; and (iii) Demands for Grants in respect of Union Territory of Jammu and Kashmir-2024-25.";"Budget (General)";"/mptrack/debatenotfound";"Kangna Ranaut"
"2024-07-25 00:00:00";"Request to govt take some steps to protect art cultures which is becoming extinct";"Special Mention";"/mptrack/debatenotfound";"Kangna Ranaut"
"2024-08-08 00:00:00";"Regarding development of Lunavada Railway station in Panchamahal Parliamentary Constituency, Gujarat";"LS - Matters under (Rule-377)";"/mptrack/debatenotfound";"Rajpalsinh Mahendrasinh Jadav"
"2024-07-30 00:00:00";"(i) General Discussion on the Budget�2024-25; (ii) General Discussion on the Budget of Union Territory of Jammu and Kashmir for 2024-25; and (iii) Demands for Grants in respect of Union Territory of Jammu and Kashmir-2024-25.";"Budget (General)";"/mptrack/debatenotfound";"Rajpalsinh Mahendrasinh Jadav"
"2024-08-06 00:00:00";"The Finance (No.2) Bill, 2024";"Government Bills";"/mptrack/debatenotfound";"Mahua Moitra"
"2024-07-01 00:00:00";"Motion of Thanks on the President's Address";"Motion of Thanks on the President's Address";"/mptrack/debatenotfound";"Mahua Moitra"
"2024-08-05 00:00:00";"Discussion on the Demands for Grants Nos. 43 and 44 under the control of the Ministry of Fisheries, Animal Husbandry and Dairying";"Budget (General)";"/mptrack/debatenotfound";"Bachhav Shobha Dinesh"
"2024-08-02 00:00:00";"Discussion on the Demands for Grants Nos. 46 and 47 under the control of the Ministry of Health and Family Welfare";"Budget (General)";"/mptrack/debatenotfound";"Bachhav Shobha Dinesh"
