"Date";"Title";"Type";"Ministry or Category";"link";"Representative"
"2024-12-20";"Anganwadi Centres";"Starred";"Women and Child Development";"https://sansad.in/getFile/loksabhaquestions/annex/183/AS366_WGt5oE.pdf?source=pqals";"Gaddigoudar Parvatagouda Chandanagouda"
"2024-12-20";"Widow Remarriage Assistance Scheme";"Unstarred";"Women and Child Development";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4349_c6M8EX.pdf?source=pqals";"Suresh Kumar Kashyap"
"2024-12-20";"Mental Healthcare Infrastructure and Services";"Unstarred";"Health and Family Welfare";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4290_2fN0re.pdf?source=pqals";"Benny Behanan"
"2024-12-20";"AYUSH Packages for Non-Communicable Diseases";"Unstarred";"AYUSH";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4159_NlzJ9D.pdf?source=pqals";"Kanwar Singh Tanwar"
"2024-12-20";"Food Import Rejection Alert";"Unstarred";"Health and Family Welfare";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4164_MdvXXP.pdf?source=pqals";"Kanwar Singh Tanwar"
"2024-12-20";"Claims Settlement under AB-PMJAY";"Unstarred";"Health and Family Welfare";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4151_rfD19c.pdf?source=pqals";"Supriya Sule"
"2024-12-20";"Anganwadi Services Scheme";"Unstarred";"Women and Child Development";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4333_skbl1j.pdf?source=pqals";"Supriya Sule"
"2024-12-20";"Availability and Affordability of Fertilizers";"Unstarred";"Chemicals and Fertilizers";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4236_m5Xm9n.pdf?source=pqals";"Kanwar Singh Tanwar"
"2024-12-20";"Assessment of Ayushman Arogya Mandir-Sub Centre";"Unstarred";"Health and Family Welfare";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4331_hPD8JJ.pdf?source=pqals";"Kanwar Singh Tanwar"
"2024-12-20";"Widow Remarriage Assistance Scheme";"Unstarred";"Women and Child Development";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4349_c6M8EX.pdf?source=pqals";"Kanwar Singh Tanwar"
"2024-12-20";"ASHA Workers Scheme";"Unstarred";"Health and Family Welfare";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4245_xw8b63.pdf?source=pqals";"Kesineni Sivanath"
"2024-12-20";"Promotion of Ayurveda and Traditional Medicines";"Unstarred";"AYUSH";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4200_Gd2CpX.pdf?source=pqals";"Suresh Kumar Kashyap"
"2024-12-20";"Pending Cheque Bounce Cases";"Unstarred";"Law and Justice";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4190_jQOwH5.pdf?source=pqals";"Ashok Kumar Rawat"
"2024-12-20";"Health Infrastructure in Government Hospitals";"Unstarred";"Health and Family Welfare";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4291_iZ4rnu.pdf?source=pqals";"Babu Singh Kushwaha"
"2024-12-20";"Parliamentary Exchanges with Neighbouring Countries";"Unstarred";"External Affairs";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4261_oCUvql.pdf?source=pqals";"Azad Kirti Jha"
"2024-12-20";"Development of Infrastructure for Ship Building";"Unstarred";"Ports, Shipping and Waterways";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4158_J0d5Dp.pdf?source=pqals";"Kota Srinivasa Poojary"
"2024-12-20";"Scheme for Adolescent Girls";"Unstarred";"Women and Child Development";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4178_XMWxyi.pdf?source=pqals";"Kota Srinivasa Poojary"
"2024-12-20";"Widow Remarriage Assistance Scheme";"Unstarred";"Women and Child Development";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4349_c6M8EX.pdf?source=pqals";"Kota Srinivasa Poojary"
"2024-12-20";"Adoption of Nano-Fertilizers";"Unstarred";"Chemicals and Fertilizers";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4186_inFo9k.pdf?source=pqals";"Naveen Jindal"
"2024-12-20";"Morbidity and Mortality of TB Patients";"Starred";"Health and Family Welfare";"https://sansad.in/getFile/loksabhaquestions/annex/183/AS361_baQkeh.pdf?source=pqals";"Selvaganapathi T.M."
"2024-12-20";"Anganwadi Services Scheme";"Unstarred";"Women and Child Development";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4333_skbl1j.pdf?source=pqals";"Nilesh Dnyandev Lanke"
"2024-12-20";"Claims Settlement under AB-PMJAY";"Unstarred";"Health and Family Welfare";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4151_rfD19c.pdf?source=pqals";"Nilesh Dnyandev Lanke"
"2024-12-20";"National Creche Scheme";"Unstarred";"Women and Child Development";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4263_AY8mAF.pdf?source=pqals";"Bachhav Shobha Dinesh"
"2024-12-20";"Scheme for Holistic Health and Nutrition";"Unstarred";"Women and Child Development";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4175_eOhXQ6.pdf?source=pqals";"Suresh Kumar Kashyap"
"2024-12-20";"National Myopia Awareness Week Campaign";"Unstarred";"Health and Family Welfare";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4204_sppv8Z.pdf?source=pqals";"Suresh Kumar Shetkar"
"2024-12-20";"Women's Participation in the Workforce";"Unstarred";"Women and Child Development";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4146_xFxnrq.pdf?source=pqals";"Baijayant Panda"
"2024-12-20";"Promotion of Ayurveda and Traditional Medicines";"Unstarred";"AYUSH";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4200_Gd2CpX.pdf?source=pqals";"Nishikant Dubey"
"2024-12-20";"AYUSH Packages for Non-Communicable Diseases";"Unstarred";"AYUSH";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4159_NlzJ9D.pdf?source=pqals";"Nishikant Dubey"
"2024-12-20";"Development of Infrastructure for Ship Building";"Unstarred";"Ports, Shipping and Waterways";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4158_J0d5Dp.pdf?source=pqals";"Nishikant Dubey"
"2024-12-20";"Anganwadi Services Scheme";"Unstarred";"Women and Child Development";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4333_skbl1j.pdf?source=pqals";"Bajrang Manohar Sonwane"
"2024-12-20";"Claims Settlement under AB-PMJAY";"Unstarred";"Health and Family Welfare";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4151_rfD19c.pdf?source=pqals";"Bajrang Manohar Sonwane"
"2024-12-20";"AYUSH Packages for Non-Communicable Diseases";"Unstarred";"AYUSH";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4159_NlzJ9D.pdf?source=pqals";"Suresh Kumar Kashyap"
"2024-12-20";"Urban Primary Healthcare Centres";"Unstarred";"Health and Family Welfare";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4214_ykssHD.pdf?source=pqals";"P C Mohan"
"2024-12-20";"Specialised Adoption Agencies";"Unstarred";"Women and Child Development";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4326_xFv2vp.pdf?source=pqals";"Bharti Pardhi"
"2024-12-20";"Promotion of Suvidha Sanitary Napkins";"Unstarred";"Chemicals and Fertilizers";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4310_j09zMh.pdf?source=pqals";"Kanimozhi Karunanidhi"
"2024-12-20";"Development of Infrastructure for Ship Building";"Unstarred";"Ports, Shipping and Waterways";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4158_J0d5Dp.pdf?source=pqals";"Bidyut Baran Mahato"
"2024-12-20";"AYUSH Packages for Non-Communicable Diseases";"Unstarred";"AYUSH";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4159_NlzJ9D.pdf?source=pqals";"Bhola Singh"
"2024-12-20";"Availability of Fertilizers";"Starred";"Chemicals and Fertilizers";"https://sansad.in/getFile/loksabhaquestions/annex/183/AS362_LosMVH.pdf?source=pqals";"Bhola Singh"
